信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-NCD利差_得分,估值|地方债-NCD利差变化_得分
2023-11-20,2023-11-27,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,15.0,15.0,5.0,20.0,0.0,0.0
2023-11-27,2023-12-04,1.0,看多,0.0026414334586579713,0.004248520328899996,-0.001607086870242025,0.0005969007936507937,0.0020517386655876683,2.4100000000000166,4.279999999999006,-1.8699999999989898,是,有效进攻,是,否,有效进攻,5.0,7.5,30.0,10.0,20.0,0.0,0.0
2023-12-04,2023-12-11,1.0,看多,0.0017561515793456106,0.00043212619190802215,0.0013240253874375885,0.0005861785714285714,0.0011701148077916256,1.3699999999999823,-0.11000000000000593,1.4799999999999882,是,其他,是,否,有效进攻,2.5,15.0,30.0,5.0,20.0,0.0,0.0
2023-12-11,2023-12-18,1.0,看多,0.003522896058886671,0.004078593438047617,-0.0005556973791609465,0.0005841468253968253,0.0029344881915712925,3.4299999999999953,4.089999999999997,-0.6600000000000019,是,有效进攻,是,否,有效进攻,5.0,15.0,30.0,10.0,20.0,0.0,0.0
2023-12-18,2024-01-08,1.0,看多,0.012283046613123405,0.01064311724799949,0.0016399293651239155,0.0015925079365079356,0.0106246637302049,12.370000000000022,10.520000000000008,1.8500000000000139,是,有效进攻,是,否,有效进攻,5.0,15.0,30.0,0.0,20.0,0.0,0.0
2024-01-08,2024-01-15,1.0,看多,0.0018602503648001978,0.0005154367483060085,0.0013448136164941893,0.0005522261904761904,0.0013091556436699795,1.5199999999999942,0.029999999999995364,1.4899999999999989,是,有效进攻,是,否,有效进攻,5.0,15.0,30.0,0.0,20.0,0.0,0.0
2024-01-15,2024-01-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,
2024-01-22,2024-01-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,
2024-01-29,2024-02-05,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,
2024-02-05,2024-02-26,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,
